Beginning Training Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.010000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.995000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 226, score: 272.0, average_score : 38.89, number of frames: 272, epsilon: 0.32050833588933575
episode: 227, score: 107.0, average_score : 39.83, number of frames: 107, epsilon: 0.31890579420988907
episode: 228, score: 128.0, average_score : 40.89, number of frames: 128, epsilon: 0.3173112652388396
episode: 229, score: 141.0, average_score : 42.21, number of frames: 141, epsilon: 0.3157247089126454
episode: 230, score: 166.0, average_score : 43.76, number of frames: 166, epsilon: 0.3141460853680822
episode: 231, score: 125.0, average_score : 44.85, number of frames: 125, epsilon: 0.3125753549412418
episode: 232, score: 177.0, average_score : 46.46, number of frames: 177, epsilon: 0.31101247816653554
episode: 233, score: 248.0, average_score : 48.85, number of frames: 248, epsilon: 0.30945741577570285
episode: 234, score: 114.0, average_score : 49.88, number of frames: 114, epsilon: 0.3079101286968243
episode: 235, score: 119.0, average_score : 50.97, number of frames: 119, epsilon: 0.3063705780533402
episode: 236, score: 214.0, average_score : 52.99, number of frames: 214, epsilon: 0.30483872516307353
episode: 237, score: 296.0, average_score : 55.81, number of frames: 296, epsilon: 0.3033145315372582
episode: 238, score: 219.0, average_score : 57.85, number of frames: 219, epsilon: 0.3017979588795719
episode: 239, score: 142.0, average_score : 59.17, number of frames: 142, epsilon: 0.30028896908517405
episode: 240, score: 202.0, average_score : 61.05, number of frames: 202, epsilon: 0.2987875242397482
episode: 241, score: 426.0, average_score : 65.17, number of frames: 426, epsilon: 0.29729358661854943
episode: 242, score: 231.0, average_score : 67.39, number of frames: 231, epsilon: 0.29580711868545667
episode: 243, score: 186.0, average_score : 69.1, number of frames: 186, epsilon: 0.2943280830920294
episode: 244, score: 52.0, average_score : 69.52, number of frames: 52, epsilon: 0.29285644267656924
episode: 245, score: 163.0, average_score : 71.06, number of frames: 163, epsilon: 0.2913921604631864
episode: 246, score: 273.0, average_score : 73.57, number of frames: 273, epsilon: 0.28993519966087045
episode: 247, score: 374.0, average_score : 77.14, number of frames: 374, epsilon: 0.2884855236625661
episode: 248, score: 302.0, average_score : 80.08, number of frames: 302, epsilon: 0.28704309604425327
episode: 249, score: 217.0, average_score : 82.15, number of frames: 217, epsilon: 0.285607880564032
episode: 250, score: 289.0, average_score : 84.91, number of frames: 289, epsilon: 0.28417984116121187
episode: 251, score: 323.0, average_score : 87.95, number of frames: 323, epsilon: 0.2827589419554058
episode: 252, score: 191.0, average_score : 89.75, number of frames: 191, epsilon: 0.28134514724562876
episode: 253, score: 261.0, average_score : 92.25, number of frames: 261, epsilon: 0.2799384215094006
episode: 254, score: 286.0, average_score : 95.01, number of frames: 286, epsilon: 0.27853872940185365
episode: 255, score: 267.0, average_score : 97.58, number of frames: 267, epsilon: 0.27714603575484437
episode: 256, score: 218.0, average_score : 99.66, number of frames: 218, epsilon: 0.2757603055760701
episode: 257, score: 238.0, average_score : 101.92, number of frames: 238, epsilon: 0.2743815040481898
episode: 258, score: 462.0, average_score : 106.43, number of frames: 462, epsilon: 0.2730095965279488
episode: 259, score: 280.0, average_score : 109.13, number of frames: 280, epsilon: 0.27164454854530906
episode: 260, score: 290.0, average_score : 111.91, number of frames: 290, epsilon: 0.2702863258025825
episode: 261, score: 314.0, average_score : 114.95, number of frames: 314, epsilon: 0.2689348941735696
episode: 262, score: 309.0, average_score : 117.9, number of frames: 309, epsilon: 0.26759021970270175
episode: 263, score: 301.0, average_score : 120.79, number of frames: 301, epsilon: 0.2662522686041882
episode: 264, score: 260.0, average_score : 123.27, number of frames: 260, epsilon: 0.2649210072611673
episode: 265, score: 226.0, average_score : 125.42, number of frames: 226, epsilon: 0.26359640222486147
episode: 266, score: 442.0, average_score : 129.73, number of frames: 442, epsilon: 0.26227842021373715
