Beginning Episodes...
----------HyperParameters Used----------
----------Batch Size  :32
----------LearningRate:0.000100
----------Discount(Gamma)    :0.990000
----------Epsilon Min :0.000000
----------Epsilon Max :1.000000
----------Epsilon Decau :0.998000
----------Min Memory Length    :64
----------Max Memory Length :65536
episode: 212, score: -47.47359384196864, average_score : -78.58669947292344, number of frames: 93, epsilon: 0.6528378024439019
episode: 213, score: -73.69125477370031, average_score : -78.25172837202267, number of frames: 166, epsilon: 0.6515321268390141
episode: 214, score: -8.040921333981558, average_score : -75.46126103981032, number of frames: 85, epsilon: 0.6502290625853361
episode: 215, score: -44.836466067860684, average_score : -75.32382522181724, number of frames: 225, epsilon: 0.6489286044601654
episode: 216, score: 10.507051496740857, average_score : -73.79061880116376, number of frames: 213, epsilon: 0.6476307472512451
episode: 217, score: -14.980839491098266, average_score : -73.47804320773864, number of frames: 144, epsilon: 0.6463354857567426
episode: 218, score: -87.11921921691813, average_score : -73.62748710762733, number of frames: 183, epsilon: 0.6450428147852291
episode: 219, score: -49.19692573634747, average_score : -73.51131017348227, number of frames: 117, epsilon: 0.6437527291556586
episode: 220, score: -83.68816369373312, average_score : -73.52938635146971, number of frames: 86, epsilon: 0.6424652236973473
episode: 221, score: -151.88728694650763, average_score : -74.86069770740231, number of frames: 136, epsilon: 0.6411802932499525
episode: 222, score: -14.118701190028219, average_score : -74.28577787591479, number of frames: 105, epsilon: 0.6398979326634526
episode: 223, score: -85.5432709327633, average_score : -73.9470067393804, number of frames: 156, epsilon: 0.6386181367981257
episode: 224, score: -142.41434893506482, average_score : -73.97017757999221, number of frames: 111, epsilon: 0.6373409005245295
episode: 225, score: -94.78830841468002, average_score : -71.84985467030577, number of frames: 119, epsilon: 0.6360662187234805
episode: 226, score: -103.88625136835434, average_score : -71.7587807778619, number of frames: 135, epsilon: 0.6347940862860335
episode: 227, score: -29.861297852779572, average_score : -71.22832020958894, number of frames: 154, epsilon: 0.6335244981134615
episode: 228, score: -70.29338323673412, average_score : -70.85129254067675, number of frames: 94, epsilon: 0.6322574491172346
episode: 229, score: -56.81081597155002, average_score : -70.73110362722102, number of frames: 78, epsilon: 0.6309929342190002
episode: 230, score: 12.519872947897952, average_score : -69.8257439158463, number of frames: 175, epsilon: 0.6297309483505622
episode: 231, score: -97.60045921817715, average_score : -70.11072902261144, number of frames: 115, epsilon: 0.6284714864538611
episode: 232, score: -79.7609719312351, average_score : -69.9272634278664, number of frames: 126, epsilon: 0.6272145434809534
episode: 233, score: -69.05188841469307, average_score : -71.07842930954546, number of frames: 139, epsilon: 0.6259601143939915
episode: 234, score: -81.39726719237888, average_score : -71.5938131579396, number of frames: 113, epsilon: 0.6247081941652035
episode: 235, score: -53.39877446282097, average_score : -71.18049164250375, number of frames: 97, epsilon: 0.6234587777768731
episode: 236, score: -7.871700991663616, average_score : -70.29501101344836, number of frames: 124, epsilon: 0.6222118602213194
episode: 237, score: -46.607674868411465, average_score : -70.34273080293946, number of frames: 211, epsilon: 0.6209674365008767
episode: 238, score: -30.75056495486041, average_score : -69.85403113090955, number of frames: 158, epsilon: 0.619725501627875
episode: 239, score: -5.480165883669187, average_score : -68.7695203843684, number of frames: 135, epsilon: 0.6184860506246193
episode: 240, score: 37.68457540641353, average_score : -67.92298133164428, number of frames: 1000, epsilon: 0.61724907852337
episode: 241, score: -61.456834275068076, average_score : -67.90325515877934, number of frames: 193, epsilon: 0.6160145803663232
episode: 242, score: -12.51081920583509, average_score : -66.83100716089113, number of frames: 136, epsilon: 0.6147825512055906
episode: 243, score: -95.93641818881498, average_score : -67.92229383177735, number of frames: 101, epsilon: 0.6135529861031793
episode: 244, score: -58.3978783822173, average_score : -67.63921559981533, number of frames: 113, epsilon: 0.612325880130973
episode: 245, score: -55.54492796596868, average_score : -67.7420894767318, number of frames: 97, epsilon: 0.611101228370711
episode: 246, score: -72.23895358513983, average_score : -67.96220707462558, number of frames: 147, epsilon: 0.6098790259139696
episode: 247, score: -25.155123454631863, average_score : -67.43427599682488, number of frames: 137, epsilon: 0.6086592678621416
episode: 248, score: -64.22367768839418, average_score : -67.35262949133586, number of frames: 119, epsilon: 0.6074419493264174
episode: 249, score: -49.976803691555865, average_score : -67.5446788763954, number of frames: 91, epsilon: 0.6062270654277645
episode: 250, score: -59.026381607412475, average_score : -67.14074759400259, number of frames: 167, epsilon: 0.6050146112969089
episode: 251, score: -51.23925866852423, average_score : -66.8014461642022, number of frames: 92, epsilon: 0.6038045820743151
